country,year,quarter,event_date,event_type,status,policy_impact_score,cross_border_implications,international_treaty_linked,civil_society_opposition_score,industry_lobbying_score,source_type
Ireland,2022,Q3,2022-07-04,Public AI Consultation Launched,Rejected,1.8,1,0,7.8,0.9,NGO Report
India,2022,Q3,2022-08-22,AI Safety Agency Established,In Committee,3.3,1,0,6.4,6.9,Official Gazette
Ireland,2025,Q2,2025-05-17,AI Liability Bill Introduced,In Committee,4.4,0,0,2.7,2.2,News Wire
Chile,2024,Q2,2024-06-09,Algorithmic Accountability Act,Passed,5.6,0,0,7.1,1.1,Official Gazette
Kenya,2023,Q1,2023-02-01,Deepfake Law Passed,Enacted,6.9,1,0,5.5,5.7,News Wire
New Zealand,2025,Q2,2025-06-15,GenAI Moratorium Proposed,Rejected,6.9,0,1,7.7,4.8,NGO Report
Poland,2025,Q1,2025-02-14,AI in Education Policy,Proposed,4.5,0,0,6.0,3.3,Parliamentary Record
South Korea,2025,Q1,2025-03-25,Deepfake Law Passed,In Committee,8.9,1,0,4.8,9.9,Parliamentary Record
India,2023,Q3,2023-08-22,Border AI Inspection Policy,Passed,7.7,0,0,0.6,9.0,Parliamentary Record
Saudi Arabia,2024,Q1,2024-03-19,AI Transparency Act,Proposed,5.9,1,0,8.8,4.2,News Wire
Germany,2025,Q2,2025-05-27,AI Liability Bill Introduced,Enacted,1.7,1,0,2.2,5.4,Parliamentary Record
Canada,2022,Q4,2022-12-05,AI in Education Policy,In Committee,8.7,0,0,5.8,3.9,Parliamentary Record
Mexico,2024,Q2,2024-06-19,AI Copyright Amendment,Passed,6.0,0,1,5.1,9.8,Parliamentary Record
Japan,2024,Q2,2024-04-19,AI Content Labelling Law,Rejected,5.9,1,1,4.0,9.0,News Wire
United Kingdom,2023,Q1,2023-02-22,AI Procurement Standards,Proposed,1.8,0,0,8.8,9.3,Official Gazette
Chile,2022,Q1,2022-02-01,AI Copyright Amendment,Passed,4.4,0,1,1.0,0.3,Official Gazette
Sweden,2022,Q2,2022-06-02,AI Content Labelling Law,Passed,7.3,0,0,5.6,6.9,NGO Report
United Kingdom,2025,Q2,2025-06-03,GenAI Export Control,Proposed,4.7,0,0,0.4,7.0,News Wire
Turkey,2024,Q1,2024-03-09,Generative AI Procurement Guidelines,Proposed,4.5,1,1,6.7,7.2,NGO Report
Ireland,2024,Q2,2024-05-05,National AI Strategy Published,Enacted,5.6,1,1,4.9,3.9,News Wire
India,2023,Q2,2023-04-21,AI Transparency Act,Enacted,5.6,0,0,3.8,8.3,NGO Report
Taiwan,2025,Q3,2025-07-26,Algorithmic Accountability Act,Enacted,4.2,0,1,9.8,8.4,NGO Report
Saudi Arabia,2024,Q2,2024-05-04,AI Copyright Amendment,In Committee,9.2,0,0,0.2,4.9,Official Gazette
Indonesia,2024,Q3,2024-09-15,AI Copyright Amendment,Enacted,8.5,0,0,4.7,2.7,NGO Report
Kenya,2023,Q4,2023-11-18,Border AI Inspection Policy,Withdrawn,2.9,1,1,8.6,1.9,Parliamentary Record
Kenya,2024,Q1,2024-01-10,GenAI Export Control,Passed,8.0,0,0,9.9,6.7,Press Release
UAE,2023,Q2,2023-06-24,AI Safety Agency Established,In Committee,8.0,0,0,4.6,8.1,NGO Report
Spain,2022,Q2,2022-06-06,AI Transparency Act,Enacted,4.4,0,0,8.2,5.8,Parliamentary Record
Nigeria,2023,Q4,2023-12-16,AI in Education Policy,Passed,7.2,0,1,3.9,3.1,Press Release
France,2025,Q1,2025-01-10,Border AI Inspection Policy,Enacted,3.4,0,0,6.1,5.8,Press Release
New Zealand,2022,Q4,2022-12-15,AI Audit Requirement,Passed,7.2,0,0,1.1,2.5,NGO Report
Japan,2024,Q3,2024-09-02,Public AI Consultation Launched,Enacted,5.1,1,0,7.1,4.1,News Wire
Kenya,2024,Q1,2024-02-11,Generative AI Procurement Guidelines,Under Review,7.3,1,0,0.1,6.1,Official Gazette
Taiwan,2022,Q3,2022-07-24,AI Content Labelling Law,Enacted,1.9,0,0,7.5,3.1,Press Release
Canada,2022,Q2,2022-06-16,AI Regulatory Framework Enacted,Rejected,6.3,0,1,6.3,7.4,Parliamentary Record
Singapore,2022,Q3,2022-09-16,AI Workforce Reskilling Program,Enacted,2.4,1,0,3.2,1.2,News Wire
Kenya,2024,Q4,2024-12-13,AI Transparency Act,Passed,7.9,0,0,0.2,3.3,NGO Report
Netherlands,2022,Q2,2022-04-20,Algorithmic Accountability Act,Withdrawn,2.7,1,0,6.2,9.0,NGO Report
Italy,2025,Q4,2025-10-22,National AI Strategy Published,In Committee,3.4,1,0,5.7,0.9,Official Gazette
Kenya,2022,Q2,2022-05-21,AI in Education Policy,Enacted,6.0,0,0,3.6,0.0,Official Gazette
Turkey,2025,Q4,2025-10-20,AI Regulatory Framework Enacted,Proposed,5.4,0,0,3.5,3.4,NGO Report
Turkey,2022,Q3,2022-08-01,GenAI Moratorium Proposed,Proposed,6.0,0,0,6.9,6.5,Parliamentary Record
Brazil,2025,Q2,2025-05-16,AI in Healthcare Regulation,Enacted,8.1,1,0,8.0,8.9,Official Gazette
China,2022,Q1,2022-01-16,AI Copyright Amendment,Enacted,7.1,1,0,8.2,8.8,NGO Report
Saudi Arabia,2025,Q3,2025-07-21,Public AI Consultation Launched,In Committee,1.5,0,0,7.0,1.8,Official Gazette
Netherlands,2025,Q1,2025-02-21,AI Liability Bill Introduced,Proposed,8.9,1,0,1.5,2.4,Parliamentary Record
Poland,2023,Q4,2023-11-24,Algorithmic Accountability Act,Under Review,8.0,0,0,2.4,2.2,News Wire
Germany,2025,Q4,2025-10-28,Deepfake Law Passed,Proposed,1.4,1,0,9.8,6.8,Parliamentary Record
United Kingdom,2024,Q2,2024-06-25,GenAI Export Control,Passed,4.0,0,0,2.9,9.0,NGO Report
New Zealand,2022,Q3,2022-08-16,AI in Healthcare Regulation,Enacted,2.6,0,0,9.1,6.2,News Wire
Canada,2023,Q1,2023-02-10,GenAI Export Control,Withdrawn,5.7,1,0,8.5,6.3,Press Release
France,2025,Q4,2025-12-21,AI in Healthcare Regulation,Enacted,2.8,0,0,1.6,5.2,Press Release
Singapore,2022,Q1,2022-01-09,AI Workforce Reskilling Program,Proposed,7.5,1,0,9.6,4.6,Press Release
Indonesia,2023,Q4,2023-12-21,GenAI Export Control,In Committee,5.5,0,1,8.4,1.8,Parliamentary Record
France,2025,Q2,2025-04-03,AI Audit Requirement,Enacted,8.1,0,0,2.9,1.5,Press Release
Australia,2022,Q3,2022-09-03,AI Content Labelling Law,Passed,5.0,0,0,1.1,6.8,News Wire
New Zealand,2025,Q4,2025-12-11,AI Audit Requirement,Passed,2.4,0,0,7.4,1.2,News Wire
Sweden,2025,Q4,2025-12-20,AI Copyright Amendment,Proposed,5.9,0,0,5.1,5.0,Parliamentary Record
India,2025,Q3,2025-08-14,AI in Education Policy,Passed,3.4,0,0,9.7,2.1,Official Gazette
Mexico,2025,Q3,2025-07-27,Algorithmic Accountability Act,Passed,5.0,1,0,3.3,2.3,NGO Report
United Kingdom,2023,Q1,2023-02-19,AI Workforce Reskilling Program,Proposed,9.2,1,0,6.0,8.2,Parliamentary Record
Mexico,2024,Q2,2024-04-21,AI Ethics Board Formed,Enacted,6.6,0,0,2.7,3.1,Official Gazette
UAE,2023,Q2,2023-04-24,AI in Healthcare Regulation,In Committee,8.9,0,0,3.5,9.9,Parliamentary Record
Saudi Arabia,2022,Q4,2022-12-14,AI Regulatory Framework Enacted,Passed,2.5,0,0,9.1,9.7,NGO Report
Kenya,2024,Q2,2024-05-12,AI in Healthcare Regulation,Passed,4.4,0,0,3.7,1.4,Official Gazette
Poland,2024,Q4,2024-10-18,AI Liability Bill Introduced,Passed,6.6,1,0,4.6,4.4,NGO Report
Australia,2024,Q1,2024-02-25,AI Liability Bill Introduced,In Committee,5.1,1,0,5.5,8.3,News Wire
China,2024,Q4,2024-10-09,AI in Healthcare Regulation,Passed,7.8,0,0,6.2,5.5,Parliamentary Record
Israel,2022,Q1,2022-02-03,AI Regulatory Framework Enacted,Enacted,8.9,0,1,7.7,10.0,NGO Report
South Africa,2025,Q3,2025-07-01,AI Content Labelling Law,Proposed,3.8,0,0,2.9,9.1,Parliamentary Record
India,2022,Q1,2022-03-27,AI Content Labelling Law,Proposed,1.3,1,1,4.9,2.7,NGO Report
Germany,2022,Q4,2022-10-02,GenAI Moratorium Proposed,Enacted,4.2,0,0,0.1,6.3,News Wire
Netherlands,2024,Q3,2024-08-07,AI Ethics Board Formed,Under Review,8.6,1,1,2.3,9.8,Parliamentary Record
Poland,2025,Q2,2025-05-14,AI Liability Bill Introduced,Proposed,7.8,1,0,2.4,2.6,News Wire
Singapore,2022,Q1,2022-01-11,AI in Education Policy,Proposed,7.5,0,0,1.8,3.1,Official Gazette
Nigeria,2025,Q4,2025-12-04,AI Regulatory Framework Enacted,In Committee,3.4,0,0,7.2,2.3,Press Release
Italy,2024,Q3,2024-07-14,AI Liability Bill Introduced,Proposed,3.6,0,0,9.7,7.8,NGO Report
Australia,2025,Q4,2025-11-08,AI Procurement Standards,Proposed,6.3,0,1,2.3,4.9,Parliamentary Record
China,2024,Q2,2024-06-07,National AI Strategy Published,In Committee,2.9,1,0,1.3,5.3,Official Gazette
Turkey,2022,Q4,2022-12-25,AI Audit Requirement,Enacted,4.5,0,0,0.2,1.5,News Wire
United Kingdom,2025,Q1,2025-03-02,National AI Strategy Published,Proposed,7.4,1,1,7.0,8.9,Press Release
Indonesia,2023,Q1,2023-02-20,Deepfake Law Passed,In Committee,5.3,0,1,6.9,3.1,NGO Report
South Africa,2025,Q1,2025-02-01,AI Workforce Reskilling Program,Proposed,9.0,0,0,2.5,8.2,Official Gazette
New Zealand,2023,Q4,2023-12-04,Generative AI Procurement Guidelines,In Committee,4.6,0,0,1.6,2.7,NGO Report
India,2025,Q3,2025-07-27,AI Liability Bill Introduced,Proposed,8.7,0,0,0.5,4.3,Press Release
Turkey,2025,Q2,2025-05-19,GenAI Export Control,Passed,3.0,0,0,6.3,0.0,NGO Report
Indonesia,2024,Q3,2024-09-01,GenAI Moratorium Proposed,Enacted,5.2,1,0,2.1,8.7,Parliamentary Record
Nigeria,2025,Q3,2025-08-10,AI Procurement Standards,Under Review,9.1,1,0,9.6,1.8,Official Gazette
Indonesia,2024,Q1,2024-02-02,Deepfake Law Passed,Enacted,5.6,0,0,8.5,8.3,News Wire
Kenya,2025,Q1,2025-01-20,Algorithmic Accountability Act,Passed,5.7,1,0,9.0,2.6,Parliamentary Record
Taiwan,2022,Q3,2022-08-23,GenAI Export Control,Passed,8.4,0,0,8.2,5.9,News Wire
France,2025,Q1,2025-01-11,GenAI Export Control,Enacted,4.4,0,0,1.8,2.9,Official Gazette
Kenya,2024,Q1,2024-02-07,Algorithmic Accountability Act,Enacted,4.3,1,1,4.7,7.8,Official Gazette
Chile,2024,Q1,2024-03-26,AI Procurement Standards,Passed,6.3,0,0,0.4,2.1,NGO Report
Japan,2024,Q2,2024-05-27,National AI Strategy Published,In Committee,2.9,0,0,8.2,7.5,Official Gazette
Spain,2022,Q4,2022-10-04,AI Procurement Standards,In Committee,7.4,0,0,5.3,9.6,Press Release
South Africa,2022,Q3,2022-08-15,AI Copyright Amendment,Enacted,1.1,1,0,2.6,5.5,Parliamentary Record
Germany,2025,Q1,2025-03-06,AI Content Labelling Law,Enacted,4.6,0,0,0.8,0.4,Press Release
Mexico,2025,Q3,2025-07-19,Border AI Inspection Policy,Proposed,4.7,0,0,8.4,0.5,NGO Report
UAE,2023,Q4,2023-12-22,National AI Strategy Published,Enacted,4.3,0,1,6.1,1.3,Parliamentary Record
Canada,2023,Q4,2023-10-21,Border AI Inspection Policy,In Committee,1.4,1,0,1.6,5.8,News Wire
Sweden,2022,Q1,2022-02-07,Deepfake Law Passed,Passed,7.6,1,0,5.2,3.9,News Wire
Turkey,2025,Q1,2025-03-24,Public AI Consultation Launched,Passed,9.1,0,0,6.0,2.3,Parliamentary Record
South Africa,2022,Q1,2022-03-11,AI in Education Policy,Passed,9.5,0,0,0.1,3.2,NGO Report
Saudi Arabia,2022,Q1,2022-03-20,AI Content Labelling Law,In Committee,3.7,0,0,0.4,3.8,Press Release
Poland,2024,Q1,2024-01-02,AI Transparency Act,Enacted,1.5,1,0,0.4,4.3,News Wire
UAE,2023,Q1,2023-03-12,AI Content Labelling Law,Enacted,7.4,0,0,9.0,0.3,NGO Report
Singapore,2023,Q2,2023-05-04,AI in Healthcare Regulation,In Committee,3.5,0,0,3.3,3.3,NGO Report
Spain,2022,Q4,2022-10-12,AI Liability Bill Introduced,Enacted,7.3,0,0,0.5,7.5,Official Gazette
Turkey,2024,Q1,2024-02-02,Border AI Inspection Policy,Enacted,7.3,1,0,6.0,3.0,NGO Report
UAE,2022,Q3,2022-08-08,AI Copyright Amendment,Enacted,7.2,0,0,8.6,8.8,Official Gazette
Japan,2022,Q4,2022-11-10,Generative AI Procurement Guidelines,Withdrawn,7.3,0,0,3.8,8.3,Parliamentary Record
New Zealand,2024,Q1,2024-01-10,AI Regulatory Framework Enacted,Passed,9.6,1,0,1.5,3.4,Official Gazette
Israel,2022,Q4,2022-10-27,AI Content Labelling Law,Enacted,3.6,0,1,7.1,0.4,Parliamentary Record
Chile,2024,Q1,2024-02-07,Algorithmic Accountability Act,Enacted,9.5,1,0,3.8,9.4,NGO Report
France,2025,Q4,2025-11-16,GenAI Export Control,Passed,9.0,0,1,3.7,5.2,Parliamentary Record
Japan,2024,Q2,2024-05-18,Border AI Inspection Policy,Proposed,2.8,0,0,9.7,6.6,Press Release
Poland,2023,Q2,2023-05-03,AI Safety Agency Established,Proposed,2.0,0,0,1.9,4.6,Press Release
China,2025,Q4,2025-11-04,Algorithmic Accountability Act,Rejected,5.2,1,0,2.3,5.4,Official Gazette
Germany,2024,Q4,2024-11-28,AI Procurement Standards,Enacted,8.2,0,0,2.1,1.3,NGO Report
Poland,2024,Q3,2024-09-26,Deepfake Law Passed,Enacted,5.4,0,1,2.6,6.3,Parliamentary Record
Italy,2024,Q1,2024-01-12,AI Workforce Reskilling Program,Proposed,5.9,0,0,0.5,8.5,Official Gazette
China,2023,Q2,2023-06-24,AI Safety Agency Established,Passed,5.7,1,0,4.1,5.1,Parliamentary Record
Italy,2024,Q1,2024-01-04,AI Workforce Reskilling Program,Passed,8.6,0,0,1.4,6.8,Parliamentary Record
Indonesia,2024,Q4,2024-10-18,AI Safety Agency Established,Proposed,4.9,1,0,5.2,3.8,Official Gazette
Singapore,2022,Q1,2022-02-13,AI in Education Policy,Passed,5.4,0,0,0.9,6.7,News Wire
Nigeria,2023,Q1,2023-01-07,National AI Strategy Published,In Committee,5.9,1,0,2.3,1.4,Official Gazette
China,2024,Q1,2024-02-11,AI Content Labelling Law,Rejected,2.1,0,1,3.9,8.1,Press Release
Ireland,2025,Q3,2025-07-23,GenAI Export Control,Passed,3.0,0,1,5.3,1.4,Parliamentary Record
Ireland,2024,Q1,2024-02-01,AI Regulatory Framework Enacted,Passed,5.0,0,1,1.9,0.8,NGO Report
Nigeria,2022,Q2,2022-06-07,National AI Strategy Published,In Committee,9.7,0,0,2.3,0.3,Official Gazette
Singapore,2024,Q3,2024-09-16,AI in Education Policy,Enacted,4.2,1,0,1.0,9.6,Press Release
Brazil,2024,Q1,2024-03-15,AI Ethics Board Formed,In Committee,3.7,0,0,0.5,1.8,News Wire
China,2024,Q2,2024-06-15,AI in Healthcare Regulation,Passed,8.9,1,0,8.4,9.9,NGO Report
Nigeria,2025,Q4,2025-10-05,AI Content Labelling Law,Passed,7.8,0,1,3.4,1.0,Parliamentary Record
UAE,2025,Q3,2025-08-13,Algorithmic Accountability Act,Proposed,9.6,1,0,5.6,1.7,Official Gazette
Taiwan,2024,Q1,2024-02-14,AI Liability Bill Introduced,In Committee,5.3,1,0,4.4,4.6,News Wire
Poland,2024,Q3,2024-08-19,AI Liability Bill Introduced,Proposed,2.0,0,0,7.2,6.0,NGO Report
India,2025,Q1,2025-02-28,GenAI Export Control,Enacted,7.0,0,0,2.8,7.7,Parliamentary Record
South Africa,2024,Q4,2024-11-14,AI Audit Requirement,Proposed,6.9,0,0,5.0,3.9,News Wire
India,2022,Q1,2022-01-06,GenAI Export Control,Enacted,3.5,1,0,1.3,1.5,News Wire
Canada,2022,Q2,2022-04-19,AI Copyright Amendment,Passed,3.8,1,0,1.5,3.7,News Wire
India,2025,Q2,2025-06-01,Deepfake Law Passed,Proposed,8.8,0,0,7.4,9.7,Official Gazette
Brazil,2023,Q4,2023-12-05,Border AI Inspection Policy,Enacted,6.5,0,0,5.9,5.6,Official Gazette
South Korea,2024,Q3,2024-08-19,GenAI Moratorium Proposed,Enacted,3.5,1,0,9.0,6.7,Press Release
Poland,2024,Q4,2024-10-23,AI Transparency Act,Enacted,1.8,0,0,2.9,8.5,Press Release
Israel,2022,Q1,2022-03-19,AI Content Labelling Law,Enacted,3.3,1,0,0.5,1.6,Press Release
Saudi Arabia,2025,Q4,2025-10-11,AI Ethics Board Formed,Rejected,9.3,1,0,4.9,8.4,Parliamentary Record
Poland,2024,Q3,2024-09-19,AI Transparency Act,Enacted,7.7,1,0,2.1,6.5,News Wire
China,2022,Q4,2022-10-25,AI Audit Requirement,In Committee,5.1,0,0,2.7,4.4,Official Gazette
Germany,2025,Q2,2025-06-20,AI Regulatory Framework Enacted,In Committee,6.4,0,0,9.5,0.3,News Wire
France,2025,Q2,2025-04-14,Public AI Consultation Launched,In Committee,3.7,0,0,6.7,1.4,Press Release
Japan,2025,Q1,2025-01-06,AI Liability Bill Introduced,In Committee,3.5,0,0,8.6,9.9,NGO Report
Canada,2024,Q1,2024-03-15,Algorithmic Accountability Act,Passed,1.6,1,0,1.7,8.3,Parliamentary Record
China,2025,Q4,2025-12-06,Deepfake Law Passed,In Committee,7.1,1,1,9.4,5.4,Press Release
Brazil,2025,Q2,2025-05-19,AI in Healthcare Regulation,In Committee,6.7,0,1,5.5,0.1,News Wire
France,2023,Q3,2023-07-16,Border AI Inspection Policy,Proposed,7.5,0,0,2.2,0.1,News Wire
Spain,2025,Q3,2025-09-15,Border AI Inspection Policy,Under Review,8.3,0,1,8.4,3.0,Parliamentary Record
Kenya,2024,Q1,2024-02-18,AI Safety Agency Established,Proposed,3.7,0,0,7.7,6.4,Official Gazette
Nigeria,2025,Q4,2025-10-02,National AI Strategy Published,In Committee,1.6,1,0,7.5,7.4,Parliamentary Record
Brazil,2025,Q2,2025-05-23,AI Liability Bill Introduced,Enacted,3.3,1,0,3.3,2.1,Press Release
Turkey,2024,Q3,2024-08-18,AI Liability Bill Introduced,Rejected,7.3,1,0,9.3,6.2,Press Release
Poland,2024,Q2,2024-05-19,AI Regulatory Framework Enacted,Passed,5.7,0,0,6.7,0.7,NGO Report
Israel,2022,Q4,2022-10-06,AI Workforce Reskilling Program,In Committee,5.6,1,1,9.5,2.5,NGO Report
Canada,2022,Q1,2022-02-06,AI Liability Bill Introduced,Withdrawn,2.9,1,0,7.7,1.8,Official Gazette
UAE,2024,Q4,2024-10-17,Generative AI Procurement Guidelines,Under Review,9.1,0,0,7.5,3.6,Official Gazette
New Zealand,2023,Q2,2023-06-14,AI Content Labelling Law,Passed,4.2,0,0,4.5,1.1,News Wire
France,2022,Q4,2022-10-23,AI Procurement Standards,Enacted,1.6,0,0,1.7,3.9,Official Gazette
Ireland,2024,Q4,2024-10-13,AI in Education Policy,Enacted,5.8,0,0,6.7,2.0,Parliamentary Record
Canada,2023,Q3,2023-09-26,National AI Strategy Published,In Committee,5.0,0,0,9.1,8.1,Parliamentary Record
UAE,2023,Q2,2023-06-28,AI Copyright Amendment,Under Review,5.0,1,0,6.0,4.3,News Wire
Canada,2022,Q1,2022-03-28,AI Copyright Amendment,Withdrawn,1.8,0,1,8.1,1.2,Parliamentary Record
Israel,2024,Q1,2024-01-14,Generative AI Procurement Guidelines,Proposed,6.5,0,0,7.1,7.0,Official Gazette
Brazil,2023,Q4,2023-10-16,AI Copyright Amendment,Under Review,8.9,0,1,9.9,8.6,Press Release
